Verse Text (Ata Manobo),Verse Text (English)
"Pogkouma ran dio, nigsolod on sikandan to baloy. To nigkita ran ka bato duma ki Maria no inoy rin, nigluhud sikandan oyow ogsimboon dan ka bato. Pogkaponga, pigpuwasan dan ka kalaglagan dan no nigpurut dan ka bulawan woy ka mahal lagboy no mohomut no ogkounawa to insinsu woy mira no insabuk dan dio to longod to bato.","On coming to the house, they saw the child with his mother Mary, and they bowed down and worshiped him. Then they opened their treasures and presented him with gifts of gold, frankincense and myrrh."
"Nò, to dio pad ka mamimituon no mgo otow to Bitlihim, pinabayo to tagoinop nignangonan sikandan to Magboboot no kono sikandan oglibong dio ki Hirodis. Tongod to soini, to poglibong dan to ugpaan dan waro sikandan nigbayo to dalan no nigbayaan dan to poghondio dan to Bitlihim.","And having been warned in a dream not to go back to Herod, they returned to their country by another route."
"To nanhipanow on ka mgo mamimituon no mgo otow, to nohirogo si Husi, natagoinop din ka diwata no kagi to diwata to, “Onow ka Husi, dumaa nu ka bato woy ka inoy rin woy salsalia kow dio to ugpaan to Ehipto. Ugpo kow dio taman to ognangonan ku sikaniu to og-awo kow dio su ogpamanghoon ni Hirodis ka bato su ogkoiniatan din no ogpohimatayan sikandin.”","When they had gone, an angel of the Lord appeared to Joseph in a dream. “Get up,” he said, “take the child and his mother and escape to Egypt. Stay there until I tell you, for Herod is going to search for the child to kill him.”"
"Nò, nig-onow si Husi woy nigduma rin on ka bato woy ka inoy rin no nanhipanow on sikandan to sikan no karusiloman pohondio to Ehipto.","So he got up, took the child and his mother during the night and left for Egypt,"
"Nig-ugpo sikandan dio to Ehipto taman to namatoy si Hirodis. Nohimu soini oyow ogkatuman on ka innangon to Magboboot pinabayo to talagnangon din dongan no nigkagi to, “Nig-umow ku ka anak ku no nigpa-awo ku sikandin ligkat to Ehipto.”",where he stayed until the death of Herod. And so was fulfilled what the Lord had said through the prophet: “Out of Egypt I called my son.”
"Nò, pogkataga ni Hirodis no nagawayan sikandin to mgo otow no mamimituon, nabolu lagboy sikandin. Tongod to soini, nigsugu sikandin no oghimatayan ka tibo no mgo lukos no bato taman to darua no tuid dan dio to lunsud to Bitlihim woy mgo lunsud no marani. Pighimu ni Hirodis soini oyow ogpakatood no ogkohimatayan si Hisus, su darua on ka tuid ligkat to pogkakita to mgo otow no mamimituon to sika bituon.","When Herod realized that he had been outwitted by the Magi, he was furious, and he gave orders to kill all the boys in Bethlehem and its vicinity who were two years old and under, in accordance with the time he had learned from the Magi."
"Pinabayo to soini natuman ka innangon dongan ni Hirimias no talagnangon to kagi to Magboboot no kagi ni Hirimias to,",Then what was said through the prophet Jeremiah was fulfilled:
“Duon ogkarinog tanow no mamatalo dio to lunsud to Rama. Ogkarinog tanow ka ogsisinogow woy ogpandalawit su si Rakil masakit lagboy so goinawa rin to mgo anak din. Ungod sikandin ogsinogow woy kono ogkoim-imuan ka goinawa rin su nammatoy ka mgo anak din.”,"“A voice is heard in Ramah, weeping and great mourning, Rachel weeping for her children and refusing to be comforted, because they are no more.”"
"Anoy man to namatoy on si Hirodis, pigpatagoinop man do to Magboboot si Husi dio to Ehipto woy nigkagi to diwata pinabayo to tagoinop ni Husi to,","After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt"
"“Onow ka Husi, dumaa nu ka bato woy ka inoy rin. Uli kow on dio to ugpaan to Israil su namatoy on ka mgo ogsugu no oghimatoy porom to bato.”","and said, “Get up, take the child and his mother and go to the land of Israel, for those who were trying to take the child’s life are dead.”"
"Nig-onow on si Husi no pigduma rin on ka bato woy ka inoy, no nig-uli on sikandan dio to ugpaan to Israil.","So he got up, took the child and his mother and went to the land of Israel."
"Di pogkataga ni Husi to ka labow no igbuyag to Hudia, ian si Arkilaus ka nakasoip to amoy rin no si Hirodis, nanahallok sikandin. Tongod to dangob pad no inpatagoinop ki Husi to Magboboot, nig-udlingan sikandin. Omunaan nigparagas sikandan dio to probinsia to Galilia.","But when he heard that Archelaus was reigning in Judea in place of his father Herod, he was afraid to go there. Having been warned in a dream, he withdrew to the district of Galilee,"
"Nighondio sikandan to lunsud to Nasarit. Omunaan no nig-ugpo sikandan dio to Nasarit su oyow ogkatuman on ka innangon dongan to Magboboot pinabayo to mgo talagnangon din no kagi rin, “Oghingaranan si Hisus no matig Nasarit.”","and he went and lived in a town called Nazareth. So was fulfilled what was said through the prophets, that he would be called a Nazarene."
Nanligad on ka pila buwa no mgo tuid woy pad nokouma si Huan no Talagbautismu dio to holholawan to probinsia to Hudia no ognangonnangon bahin to kagi to Magboboot.,"In those days John the Baptist came, preaching in the wilderness of Judea"
"Nigkagi si Huan to mgo otow to, “Balbalawi now ka goinawa now woy ongkori now on ka maroot no mgo batasan now su natuman on ka Pogsugu to Magboboot kai to tano.”","and saying, “Repent, for the kingdom of heaven has come near.”"
"Si Huan no Talagbautismu ian ka innangon ni Isaias no talagnangon to kagi to Magboboot dongan no nigkagi to, “Duon otow dio to holholawan no ogbabansagon no nigkagi to, ‘Lantasi now woy gawhani now ka ogbayaan to Lagboy no Igbuyag ta oyow ogmatulid ka dalan.’ ”","This is he who was spoken of through the prophet Isaiah: “A voice of one calling in the wilderness, ‘Prepare the way for the Lord, make straight paths for him.’”"
"Ka kinabo ni Huan, naabol to bulbul to ayam no oghingaranan to kamil woy ka nagangu no laplap to ayam ka inhimu to holon din. Ian igkouyag din ka mgo talangas woy tonob.","John’s clothes were made of camel’s hair, and he had a leather belt around his waist. His food was locusts and wild honey."
Mohon-ing ka mgo otow no nigpuun dio to dakol no lunsud to Hirusalim woy tibo no mgo lunsud to probinsia to Hudia no nanhondio nigpamminog ki Huan. Songo duon mohon-ing no mgo otow no nighondio no nigpuun to mgo lunsud no marani to woig to Hordan.,People went out to him from Jerusalem and all Judea and the whole region of the Jordan.
To nig-abin dan ka mgo salo dan dio to Magboboot nigpamautismuan sikandan ni Huan dio to woig to Hordan.,"Confessing their sins, they were baptized by him in the Jordan River."
"To nigkita ni Huan to mohon-ing ka mgo otow no Parisiu woy Sadusiu no ogpokouma dio to kandin oyow ogpabautismu, pigkagian din sikandan to, “Ogkounawa kow to ulod no oghilu su maroot ka batasan now. Manio no oghondini kow? Nahan now buwa no kono kow on oglogparan to Magboboot ko ogkabautismuan kow on to woig.”","But when he saw many of the Pharisees and Sadducees coming to where he was baptizing, he said to them: “You brood of vipers! Who warned you to flee from the coming wrath?"
"Nigparagas si Huan no nigkagi to, “Ko malogot ian no pig-ongkoran now on ka mgo salo now, ogkakitaan porom pinabayo to maroyow no oghimuon now.",Produce fruit in keeping with repentance.
Kono kow og-iman no kono kow oglogporan tongod to si Abraham ka minuna now. Ogkagian ku sikaniu no ogkohimu atag to Magboboot ko ogkagian din do ka soin no mgo batu no ogkohimu no mgo pinanganak ni Abraham ko ogkoiniatan din.,"And do not think you can say to yourselves, ‘We have Abraham as our father.’ I tell you that out of these stones God can raise up children for Abraham."
"Ogkounawa to pogpolod to kayu ka poglogpad to Magboboot kaniu. Ka wasoy naan ka igpanagana rin oyow igpolod to kayu. Nò, sika no kayu no kono no maroyow ka bogas din ogpoloron no ogdogpak dio to hapuy.”","The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire."
"Nigparagas no nigkagi si Huan to, “Woig ka igbautismu ku kaniu, indanan no pig-ongkoran now on ka mgo maroot no mgo batasan now. Di ka ogpakasundul koddi, ogbautismuan kow ian nikandin to Gimukud to Magboboot woy hapuy. Sikan no ogsundul koddi, dakoldakol pad koddi ka katondanan din. Doidoisok ka katondanan ku agad to oghokad to kandin no sandal.","“I baptize you with water for repentance. But after me comes one who is more powerful than I, whose sandals I am not worthy to carry. He will baptize you with the Holy Spirit and fire."
"Oggongonon din ka lirong din oyow ogkootap ka otapon woy ogkalunsod ka maroyow. Oglimuron din ka lupogas woy ogsilaban din ka otapon dio to hapuy no kono ogkaparongan,” kagi ni Huan.","His winnowing fork is in his hand, and he will clear his threshing floor, gathering his wheat into the barn and burning up the chaff with unquenchable fire.”"
Pila ro no allow ka nigligad to sika pognangon ni Huan to mgo otow no nigpuun si Hisus dio to probinsia to Galilia no nokouma dio ki Huan oyow ogpabautismu sikandin ki Huan to woig to Hordan.,Then Jesus came from Galilee to the Jordan to be baptized by John.
"Di nigbalibad si Huan no ogbautismu ki Hisus no kagi din to, “Kono ogkohimu no sikoddi ka ogbautismu koykow. Sikoykow porom ka ogbautismu koddi,” kagi ni Huan.","But John tried to deter him, saying, “I need to be baptized by you, and do you come to me?”"
"Nigtabak si Hisus no kagi rin to, “Kuntoon, ogkohimu su awoson no ogbautismuan a nu su oyow ogkatuman ka tibo no ogkoiniatan to Magboboot.” Nighoo on si Huan woy nigbautismuan din on si Hisus.","Jesus replied, “Let it be so now; it is proper for us to do this to fulfill all righteousness.” Then John consented."
"To pogkaponga no nigbautismuan si Hisus, niggakap on sikandin dio to woig. Nò, napuasan ka langit. Niglonghag no nigkita rin ka Gimukud to Magboboot no ogpokohulughulug no ogkounawa to salapati dio to kandin no oglatun.","As soon as Jesus was baptized, he went up out of the water. At that moment heaven was opened, and he saw the Spirit of God descending like a dove and alighting on him."
"Duon narinog no kagi ligkat dio to langit no nigkagi to, “Soini ka koddi no anak no indakoli to goinawa ku. Dakol ka igkarago ku kandin.”","And a voice from heaven said, “This is my Son, whom I love; with him I am well pleased.”"
Pigduma to Gimukud to Magboboot si Hisus dio to holholawan oyow og-ol-ologan ni Satanas no igbuyag to mgo busow oyow ogpakasalo porom si Hisus.,Then Jesus was led by the Spirit into the wilderness to be tempted by the devil.
"Kohop-atan no allow no wa nigkoon si Hisus, no pogkaponga niggutasan on lagboy sikandin.","After fasting forty days and forty nights, he was hungry."
"Nigdani si Satanas ki Hisus oyow ol-ologan din sikandin. Kagi ni Satanas ki Hisus to, “Ko koykow ka Anak to Magboboot, sugua nu soini no mgo batu su oyow ogbaluy no paan no koonon nu.”","The tempter came to him and said, “If you are the Son of God, tell these stones to become bread.”"
"Di nigtabak si Hisus no kagi rin to, “Duon inkasulat dongan to kagi to Magboboot no nigkagi to, ‘Kono no koonon do ka igkouyag to mgo otow di songo awoson dan ka tibo no kinagian to Magboboot.’ ”","Jesus answered, “It is written: ‘Man shall not live on bread alone, but on every word that comes from the mouth of God.’”"
"Hutuk man do, pigduma ni Satanas si Hisus no nighondio to dakol no lunsud to Hirusalim. Dio, pigduma rin si Hisus dio to liliungan to Dakol no Ampuanan to mgo Hudiu.",Then the devil took him to the holy city and had him stand on the highest point of the temple.
"Kagi ni Satanas ki Hisus to, “Ko sikoykow ka Anak to Magboboot, tinugpu ka dio to tano su duon inkasulat no kagi to Magboboot to, ‘Ogbuligan ka to Magboboot su ogsuguon din ka mgo diwata din no ogtapayoon ka nikandan oyow kono ka ogpakaroog to agad sagboka no batu.’ ”","“If you are the Son of God,” he said, “throw yourself down. For it is written: ‘He will command his angels concerning you, and they will lift you up in their hands, so that you will not strike your foot against a stone.’”"
"Nigtabak si Hisus no kagi din, “Malogot ka innangon nu di songo duon insulat no kagi to Magboboot to, ‘Kono now ol-ologi ka Lagboy no Igbuyag no ian ka Magboboot.’ ”","Jesus answered him, “It is also written: ‘Do not put the Lord your God to the test.’”"
Hutuk man do no dumaa ni Satanas si Hisus dio to matikang lagboy no bubungan oyow igpapitow rin ka tibo no mgo ugpaan kai to kalibutan woy ka igkaratu dan woy ka karoyawi to tag saboka kandan.,"Again, the devil took him to a very high mountain and showed him all the kingdoms of the world and their splendor."
"Kagi ni Satanas ki Hisus to, “Tibo mgo soini no ogkitoon nu, igbogoy ku koykow di woy ku ro igbogoy ko ogluhud kad woy ogsimba kad koddi.”","“All this I will give you,” he said, “if you will bow down and worship me.”"
"Nigtabak si Hisus ki Satanas no nigsugu to, “Satanas, awo ka kai to koddi. Duon inkasulat no kagi to Magboboot dongan to, ‘Kaniu, ian now ro simbaa ka Magboboot now woy kandin do ogpaag-agaran now.’ ”","Jesus said to him, “Away from me, Satan! For it is written: ‘Worship the Lord your God, and serve him only.’”"
"Nò, nig-ongkod si Satanas ki Hisus dio no nokouma on ka mgo diwata no suguanon to Magboboot no nigsagman dan si Hisus to awosonon din.","Then the devil left him, and angels came and attended him."
"Pogdinog ni Hisus to napirisu si Huan no Talagbautismu, nighondio si Hisus to probinsia to Galilia.","When Jesus heard that John had been put in prison, he withdrew to Galilee."
"Nakabayo si Hisus dio to lunsud to Nasarit di dio nig-ugpo to lunsud to Kapirnaum no dio to ilis to dakol no lanow to Galilia. Soini no lunsud to Kapirnaum, sakup ian to lunsud to Sabulun woy Niptali.","Leaving Nazareth, he went and lived in Capernaum, which was by the lake in the area of Zebulun and Naphtali—"
"Pinabayo to soini ogkatuman ka kagi to talagnangon to kagi to Magboboot dongan no si Isaias no nigtagno bahin to mgo otow dio to,",to fulfill what was said through the prophet Isaiah:
"“Mgo matig Sabulun woy matig Niptali no og-ugpo dio to marani to dakol no lanow no dio dapit to salopan to woig to Hordan woy dio to ugpaan to Galilia,","“Land of Zebulun and land of Naphtali, the Way of the Sea, beyond the Jordan, Galilee of the Gentiles—"
"tibo soini no mgo otow marusilom on ka pogdoromdom dan. Di uromo ogkitoon dan on ka ogpakabat-ow to goinawa ran. Sikandan no og-uugpo do to sika marusilom taman to ogkamatoy sikandan, duon on ogpakabat-ow to dalan dan.”",the people living in darkness have seen a great light; on those living in the land of the shadow of death a light has dawned.”
"Sikan ka pogbunsud to pogbatbat ni Hisus to mgo otow no kagi rin to, “Sunditi now ka goinawa now woy ongkori now ka mgo salo now su magaan on ka Pogsugu to Magboboot kai to soin no kalibutan.”","From that time on Jesus began to preach, “Repent, for the kingdom of heaven has come near.”"
"Songo allow to si Hisus dio to ilis to lanow to Galilia, nigkita rin ka darua no lukos no patalahari no si Simon no songo oghingaranan ki Pedro woy ka hari rin no si Andres. Nigsisigay sikandan duon to lanow su talagngangalap sikandan.","As Jesus was walking beside the Sea of Galilee, he saw two brothers, Simon called Peter and his brother Andrew. They were casting a net into the lake, for they were fishermen."
"Nigkagian ni Hisus sikandan to, “Duma kow koddi su og-anaron ku sikaniu ko ogmonuon now to og-alap to mgo otow kai to koddi oyow ogkohimu sikandan no mgo sakup ku.”","“Come, follow me,” Jesus said, “and I will send you out to fish for people.”"
"No, nig-agpas dan on gaata ka sigay ran, no nigduma on ki Hisus.",At once they left their nets and followed him.
Nigparagas no nighipanow woy si Hisus no nigkita rin ka songo darua no lukos no patalahari no si Santiago woy si Huan no mgo anak ni Sibidiu. Dio sikandan to balutu ran duma to amoy ran su ogbalbalawan dan ka sigay dan.,"Going on from there, he saw two other brothers, James son of Zebedee and his brother John. They were in a boat with their father Zebedee, preparing their nets. Jesus called them,"
"Nig-umow ni Hisus sikandan oyow ogdumoon din sikandan. Pogkarinog dan ki Hisus, pig-agpas dan ongkori ka balutu woy ka amoy ran no nigduma on sikandan ki Hisus.",and immediately they left the boat and their father and followed him.
Niglogoblogob ni Hisus ka tibo no mgo lunsud to Galilia no og-anad duon to mgo anaranan to mgo og-ampu. Nignangonnangon sikandin to mgo otow to Maroyow no Nangnangonon bahin to Pogsugu to Magboboot kai to soin no kalibutan woy nigbawian din ka mohon-ing no loinloin no dalu duon to mgo otow.,"Jesus went throughout Galilee, teaching in their synagogues, proclaiming the good news of the kingdom, and healing every disease and sickness among the people."
"Nabantug si Hisus dio to marani no mgo lunsud woy agad dio to tibo no ugpaan to Siria. Omunaan nig-alap to mgo otow dio to kandin ka tibo no mandaralu, agad nokoy no kalasi no ogkounawa to otow no nigsoloran to busow, ka ogbaboyon woy ko noumil no mgo otow. Nigbawian din ka tibo.","News about him spread all over Syria, and people brought to him all who were ill with various diseases, those suffering severe pain, the demon-possessed, those having seizures, and the paralyzed; and he healed them."
"Tongod to soini, nanundul ki Hisus ka mohon-ing lagboy no mgo otow. Duon mgo otow no nigpuun dio to probinsia to Galilia, ka mgo duma, ligkat dio to lunsud no Dikapolis woy dio to dakol no lunsud to Hirusalim, woy dio to probinsia to Hudia, woy ka mgo duma, dio to doipag to woig to Hordan nigligkat.","Large crowds from Galilee, the Decapolis, Jerusalem, Judea and the region across the Jordan followed him."
"To nigkita ni Hisus ka mohon-ing lagboy no mgo otow, nigtakorog sikandin to malopot no bubungan no ampow-ampow ro to mgo otow. To nigpinnuu dio nigdani ka mgo hibatoon din kandin.","Now when Jesus saw the crowds, he went up on a mountainside and sat down. His disciples came to him,"
"Nò, pig-anad din sikandan.",and he began to teach them. He said:
"Kagi rin kandan to, “Ogkapulusan pad sikandan no nataga no kono sikandan ogpokohimu to maroyow ko waro bulig to Magboboot su nasakupan on sikandan to Pogsugu to Magboboot.","“Blessed are the poor in spirit, for theirs is the kingdom of heaven."
Ogkapulusan pad sikandan no ogmasakit so goinawa ran to maroot no hinimuan dan su duon igkarago dan dio to Magboboot kandan.,"Blessed are those who mourn, for they will be comforted."
Ogkapulusan pad sikandan no ogpoobos to duma ran su sikandan ka ogkabogayan to sikan no panagana to Magboboot.,"Blessed are the meek, for they will inherit the earth."
Ogkapulusan pad sikandan no ogpoomot no ogtuman to mgo sugu to Magboboot su ogbuligan to Magboboot sikandan oyow ogkohimu rin to soini.,"Blessed are those who hunger and thirst for righteousness, for they will be filled."
Ogkapulusan pad sikandan no duon kohoy-u ran to mgo duma ran su songo ogkohoy-uan sikandan to Magboboot.,"Blessed are the merciful, for they will be shown mercy."
Ogkapulusan pad sikandan no matuwarong su ogkitoon dan uromo ka Magboboot.,"Blessed are the pure in heart, for they will see God."
Ogkapulusan pad sikandan no ogpokohusoy to mgo duma ran no nokog-ogot su oghingaranan sikandan to Magboboot no mgo anak din.,"Blessed are the peacemakers, for they will be called children of God."
Ogkapulusan pad sikandan no ogkabaybayaran to mgo otow tongod to poghimu ran to ogkoiniatan to Magboboot su nasakupan on sikandan to Pogsugu to Magboboot.,"Blessed are those who are persecuted because of righteousness, for theirs is the kingdom of heaven."
"Ogkapulusan kow ko ligkat to nigtuu kow koddi no duon mgo otow no oglomotan kow ran woy ko ogkabaybayaran kow ran woy kow ogmarooton kow nikandan to kandan no wangal, duon dod man igkarago now.","“Blessed are you when people insult you, persecute you and falsely say all kinds of evil against you because of me."
"Ko soini ka oghimuon to mgo otow kaniu, ogkarago kow su dakol lagboy ka igsayo kaniu uromo dio to langit no nigpanagana kaniu. Ka oghimuon to mgo otow kaniu, songo unawa ka batasan to kandan no mgo apu dongan to mgo talagnangon to kagi to Magboboot.”","Rejoice and be glad, because great is your reward in heaven, for in the same way they persecuted the prophets who were before you."
"Sikaniu no mgo hibatoon ku, ogkounawa kow to asin no moomis ko ig-amut to ngalap, su pinabayo kaniu, ogmaroyow ka batasan to mgo otow. Di ko ogkaawo ka koomis to asin, konad on oglibong ka koomis din. Warad on pulus to asin ko warad on ka koomis din; litos on ian no igdogpak ta woy ogdiokdiokan to mgo otow.","“You are the salt of the earth. But if the salt loses its saltiness, how can it be made salty again? It is no longer good for anything, except to be thrown out and trampled underfoot."
